Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Bracket Stage,Expert,Bracket A,Round of 32,Best of 3,boner alert,PB&J,boner alert,1,0,1,0,,,Jackson Smith,Isaac Mixon,,Joseph Gibson,Paul Berrey,
Bracket Stage,Expert,Bracket A,Round of 32,Best of 3,Walmart Creamy,Pull Day,Walmart Creamy,21,14,21,15,,,Jeremy Lee,Colton Olvey,,Lane Morris,Justin Goldman,
Bracket Stage,Expert,Bracket A,Round of 16,Best of 3,Hindsight,Walmart Creamy,Hindsight,21,19,21,16,,,Peyton Stack,Noah Luskus,,Jeremy Lee,Colton Olvey,
Bracket Stage,Expert,Bracket A,Round of 16,Best of 3,Too Much Jamz,boner alert,Too Much Jamz,21,15,21,15,,,Sean Caufield,Andrew Yancey,,Jackson Smith,Isaac Mixon,
Bracket Stage,Expert,Bracket A,Round of 16,Best of 3,Golden Millers,Premier = Retirement,Golden Millers,21,15,21,17,,,Harrison Baisden,Nate von der Sitt,,Matthew Waisner,Adam Prudhomme,
Bracket Stage,Expert,Bracket A,Round of 16,Best of 3,Kloehn/Savage,Set Fire 🔥,Kloehn/Savage,21,14,21,11,,,Connar Kloehn,Ben Savage,,Eli Canon,Garret Chaffins,
Bracket Stage,Expert,Bracket A,Round of 16,Best of 3,Cocoa Butter Kisses,Luh Power,Cocoa Butter Kisses,21,19,21,12,,,Grant Marshall,Brendan Ferreira,,Carson Kurdys,Hudson Powers,
Bracket Stage,Expert,Bracket A,Round of 16,Best of 3,"Devious Little Goblins ",Lunar,"Devious Little Goblins ",21,14,21,15,,,Spencer Sexton,Austin Niles,,Daniel Titherington,Anthony Schenk,
Bracket Stage,Expert,Bracket A,Round of 16,Best of 3,Zen,lefty flip,Zen,1,0,1,0,,,Ben Landes,Zeke Beckford,,Austin Smith,Will Blass,
Bracket Stage,Expert,Bracket A,Round of 16,Best of 3,And-One Mixtape,Steady Mobbin,Steady Mobbin,21,19,19,21,19,21,Owen Bass,Braedan Thomas,,Parker Mckinney,Bradley Clark,
Bracket Stage,Expert,Bracket A,Quarter-final,Best of 3,Hindsight,Steady Mobbin,Hindsight,21,19,21,16,,,Peyton Stack,Noah Luskus,,Parker Mckinney,Bradley Clark,
Bracket Stage,Expert,Bracket A,Quarter-final,Best of 3,Too Much Jamz,Zen,Too Much Jamz,1,0,1,0,,,Sean Caufield,Andrew Yancey,,Ben Landes,Zeke Beckford,
Bracket Stage,Expert,Bracket A,Quarter-final,Best of 3,Golden Millers,"Devious Little Goblins ",Golden Millers,23,21,21,14,,,Harrison Baisden,Nate von der Sitt,,Spencer Sexton,Austin Niles,
Bracket Stage,Expert,Bracket A,Quarter-final,Best of 3,Kloehn/Savage,Cocoa Butter Kisses,Cocoa Butter Kisses,18,21,15,21,,,Connar Kloehn,Ben Savage,,Grant Marshall,Brendan Ferreira,
Bracket Stage,Expert,Bracket A,P9: Quarter-final,Best of 3,And-One Mixtape,Walmart Creamy,Walmart Creamy,0,1,0,1,,,Owen Bass,Braedan Thomas,,Jeremy Lee,Colton Olvey,
Bracket Stage,Expert,Bracket A,P9: Quarter-final,Best of 3,lefty flip,boner alert,lefty flip,1,0,1,0,,,Austin Smith,Will Blass,,Jackson Smith,Isaac Mixon,
Bracket Stage,Expert,Bracket A,P9: Quarter-final,Best of 3,Lunar,Premier = Retirement,Lunar,21,18,1,0,,,Daniel Titherington,Anthony Schenk,,Matthew Waisner,Adam Prudhomme,
Bracket Stage,Expert,Bracket A,P9: Quarter-final,Best of 3,Luh Power,Set Fire 🔥,Set Fire 🔥,0,1,0,1,,,Carson Kurdys,Hudson Powers,,Eli Canon,Garret Chaffins,
Bracket Stage,Expert,Bracket A,P17: Quarter-final,Best of 3,PB&J,"Blind Date ","Blind Date ",21,14,17,21,15,21,Joseph Gibson,Paul Berrey,,Levi Campbell,Jake Kelley,
Bracket Stage,Expert,Bracket A,P17: Quarter-final,Best of 3,THE OLD GUYS,Memory Lanes,Memory Lanes,0,1,0,1,,,Jake Scharff,Ben Jones,,Cole Solomon,Joseph Motto,
Bracket Stage,Expert,Bracket A,Semi-final,Best of 3,Hindsight,Cocoa Butter Kisses,Cocoa Butter Kisses,17,21,21,18,18,21,Peyton Stack,Noah Luskus,,Grant Marshall,Brendan Ferreira,
Bracket Stage,Expert,Bracket A,Semi-final,Best of 3,Too Much Jamz,Golden Millers,Too Much Jamz,19,21,21,13,21,19,Sean Caufield,Andrew Yancey,,Harrison Baisden,Nate von der Sitt,
Bracket Stage,Expert,Bracket A,P5: Semi-final,Best of 3,Kloehn/Savage,Steady Mobbin,Kloehn/Savage,0,-2,0,-2,,,Connar Kloehn,Ben Savage,,Parker Mckinney,Bradley Clark,
Bracket Stage,Expert,Bracket A,P5: Semi-final,Best of 3,"Devious Little Goblins ",Zen,"Devious Little Goblins ",0,-1,0,-1,,,Spencer Sexton,Austin Niles,,Ben Landes,Zeke Beckford,
Bracket Stage,Expert,Bracket A,P9: Semi-final,Best of 3,Walmart Creamy,Set Fire 🔥,Set Fire 🔥,0,1,0,1,,,Jeremy Lee,Colton Olvey,,Eli Canon,Garret Chaffins,
Bracket Stage,Expert,Bracket A,P9: Semi-final,Best of 3,lefty flip,Lunar,lefty flip,0,-1,0,-1,,,Austin Smith,Will Blass,,Daniel Titherington,Anthony Schenk,
Bracket Stage,Expert,Bracket A,P17: Semi-final,Best of 3,Pull Day,Memory Lanes,Pull Day,14,16,16,14,15,13,Lane Morris,Justin Goldman,,Cole Solomon,Joseph Motto,
Bracket Stage,Expert,Bracket A,P17: Semi-final,Best of 3,"Blind Date ",Green Turkey and Ham(ilton),"Blind Date ",1,0,1,0,,,Levi Campbell,Jake Kelley,,McKenna McKean,Savannah Obert,
Bracket Stage,Expert,Bracket A,Final,Best of 3,Cocoa Butter Kisses,Too Much Jamz,,21,13,10,12,-1,-1,Grant Marshall,Brendan Ferreira,,Sean Caufield,Andrew Yancey,
Bracket Stage,Expert,Bracket A,P3: Final,Best of 3,Golden Millers,Hindsight,,0,-2,,,,,Harrison Baisden,Nate von der Sitt,,Peyton Stack,Noah Luskus,
Bracket Stage,Expert,Bracket A,P5: Final,Best of 3,Kloehn/Savage,"Devious Little Goblins ",Kloehn/Savage,1,0,0,-1,0,-1,Connar Kloehn,Ben Savage,,Spencer Sexton,Austin Niles,
